"Task","Dataset","Subject","Raw Task Key","Input Text","Target Texts","Generated Text","Bleu1","Bleu2","Rouge1-recall","Sentiment label","Relation label","GM\.BLEU1@MTV00","GM\.BLEU1@MTV01","GM\.BLEU1@MTV02","GM\.BLEU1@MTV03","GM\.BLEU1@MTV04","GM\.BLEU1@MTV05","GM\.BLEU1@MTV06","GM\.BLEU1@MTV07","GM\.BLEU1@RAW","GM\.BLEU2@MTV00","GM\.BLEU2@MTV01","GM\.BLEU2@MTV02","GM\.BLEU2@MTV03","GM\.BLEU2@MTV04","GM\.BLEU2@MTV05","GM\.BLEU2@MTV06","GM\.BLEU2@MTV07","GM\.BLEU2@RAW","GM\.ROUGE1@MTV00","GM\.ROUGE1@MTV01","GM\.ROUGE1@MTV02","GM\.ROUGE1@MTV03","GM\.ROUGE1@MTV04","GM\.ROUGE1@MTV05","GM\.ROUGE1@MTV06","GM\.ROUGE1@MTV07","GM\.ROUGE1@RAW","Rouge1-precision","Rouge1-fmeasure","WER","Bleu3","Bleu4","Generated Text (w/tf)","Bleu1 (w/tf)","Bleu2 (w/tf)","Rouge1-precision (w/tf)","Rouge1-fmeasure (w/tf)","WER (w/tf)","Bleu3 (w/tf)","Bleu4 (w/tf)","Rouge1-recall (w/tf)"
"<NR>","ZuCo1","ZAB","task1","The film rehashes several old themes and is capped with pointless extremes -- it's insanely violent and very graphic.","The movie repeats old ideas and is overly violent with too much graphic content.,The movie repeats old ideas and is too violent and graphic for no good reason.,The film rehashes several old themes and is overly violent and graphic to the point of being pointless.,The film rehashes several old themes and has a violent and graphic ending that seems pointless.,The film is marred by its pointless and extremely violent content.,The film is overly violent and excessively graphic, rehashing old themes.,The film rehashes several old themes and is capped with pointless extremes -- it's insanely violent and very graphic.,It's not a bad movie, but it's not a great one either.","The movie is a bad movie, but it's not a bad movie, but it's not a great one either.","0.7368420958518982","0.6710383296012878","1","negative","nan","0.15789473056793213","0.15789473056793213","0.10526316612958908","0.10526316612958908","0.10526316612958908","0.10526316612958908","0.15789473056793213","0.5789473652839661","0.15789473056793213","0.09365858137607574","0.09365858137607574","0","0","0","0","0","0.5671309232711792","0","0.2142857164144516","0.20000000298023224","0.1111111119389534","0.125","0.1818181872367859","0.1818181872367859","0.21052631735801697","1","0.21052631735801697","0.6666666865348816","0.800000011920929","0.8947368264198303","0.6200538277626038","0.587576687335968","The movie isappydd,,  a and...  it's.,  intelligent but.  Yu         This This This This This I This This I This This This I This This This This This This This This This This","0.03125","0","0.12121212482452393","0.1538461595773697","1.6315789222717285","0","0","0.21052631735801697"
"<NR>","ZuCo1","ZAB","task1","For the most part, the ingredients are there.","Most of what you need is there.,The movie has a good foundation.,The movie has all the necessary elements.,The movie has all the necessary elements, for the most part.,The movie has all the necessary ingredients.,The movie has all the necessary ingredients.,For the most part, the ingredients are there.,Make sure you have all the ingredients.","This movie is a good movie, but it's not a bad movie, but it's not a great one either.","0.21052633225917816","0.10814761370420456","0.5","neutral","nan","0.05263158306479454","0.15789473056793213","0.05263158306479454","0.05263158306479454","0.05263158306479454","0.05263158306479454","0","0","0","0","0.09365858137607574","0","0","0","0","0","0","0","0.1428571492433548","0.5","0.1428571492433548","0.09090909361839294","0.1428571492433548","0.1428571492433548","0","0","0","0.1428571492433548","0.2222222238779068","2.375","0","0","The the movie silly in but movie of not have it     This This This This This This This This The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The The","0.01694915071129799","0","0.033898305147886276","0.05970149114727974","7.25","0","0","0.25"
"<NR>","ZuCo1","ZAB","task1","But if you've paid a matinee price and bought a big tub of popcorn, there's guilty fun to be had here.","If you've paid a lower price and bought some popcorn, you might enjoy this movie.,If you pay a low price and get some snacks, you can have a fun time.,If you've paid a low price and bought a big tub of popcorn, the movie can be enjoyable in a guilty way.,If you pay a lower price for a matinee and buy a big tub of popcorn, you can have some enjoyable, albeit guilty, fun watching this movie.,This movie is fun if you pay a low price and have low expectations.,This movie is fun to watch, especially if you pay a lower price and enjoy it with snacks.,But if you've paid a matinee price and bought a big tub of popcorn, there's guilty fun to be had here.,It's not a great movie, but if you're willing to pay a little extra, it's worth it.","The movie is a bad movie, but it's not a bad movie, but it's not a great one either.","0.5263158082962036","0.3419927954673767","0.5","neutral","nan","0.05263158306479454","0.10526316612958908","0.17977678775787354","0.10363509505987167","0.15789473056793213","0.15789473056793213","0.09474607557058334","0.3684210479259491","0.09474607557058334","0","0","0","0","0.09365858137607574","0.09365858137607574","0","0.24779729545116425","0","0.125","0.125","0.21739129722118378","0.14814814925193787","0.2142857164144516","0.2222222238779068","0.17391304671764374","0.5","0.17391304671764374","0.4761904776096344","0.4878048896789551","0.9523809552192688","0.19019319117069244","0","The thehe's  thea -od.  a  impact-  movie and.s - for be  funny..  the the                       It The It The It","0.09474607557058334","0","0.20000000298023224","0.1860465109348297","0.9523809552192688","0","0","0.17391304671764374"
"<NR>","ZuCo1","ZAB","task1","There's not much to Fatale, outside of its stylish surprises... but that's OK.","The movie Fatale doesn't have much to offer, but its stylish moments make it okay.,There's not much to Fatale, but its stylish surprises are enjoyable.,The movie Fatale has few notable elements, but its stylish surprises make it enjoyable.,The movie Fatale has some stylish surprises, which makes up for its lack of substance.,Fatale is a stylish movie, even if it lacks substance.,Fatale's stylish surprises make up for its lack of substance.,There's not much to Fatale, outside of its stylish surprises... but that's OK.,Fatale is a sexy, sexy, sexy film.","It's a bad movie, but it's not a man-stnaa, a pity a pity a bad movie, but it's not a sex.","0.190476194024086","0","0.2666666805744171","neutral","nan","0.0476190447807312","0.0952380895614624","0.0476190447807312","0","0.0952380895614624","0","0.0952380895614624","0.0476190447807312","0.0952380895614624","0","0","0","0","0","0","0","0","0","0.1875","0.25","0.2142857164144516","0.06666667014360428","0.30000001192092896","0.09090909361839294","0.2666666805744171","0.1428571492433548","0.2666666805744171","0.1599999964237213","0.20000000298023224","1.4615384340286255","0","0","The's  - bea, but to the bestly,. it iss lifew, night                                   The     ","0.15334071218967438","0","0.25","0.2222222238779068","1","0","0","0.20000000298023224"
"<NR>","ZuCo1","ZAB","task1","Weiss and Speck never make a convincing case for the relevance of these two 20th-century footnotes.","Weiss and Speck do not make a good argument for why these two historical figures matter.,The directors do not make a strong argument for why these two relatively unimportant people from the 20th century matter.,The movie's portrayal of Weiss and Speck fails to convince viewers of the importance of these two 20th-century footnotes.,The reviewer thinks that the filmmakers Weiss and Speck failed to show why the two historical events are important.,Weiss and Speck fail to show why these two 20th-century footnotes matter.,Weiss and Speck fail to make a convincing case for the relevance of these two 20th-century footnotes.,Weiss and Speck never make a convincing case for the relevance of these two 20th-century footnotes.,It's a pity that the authors of this book don't have a better idea of what they're talking about.","This movie is a film that's not a film, but it's not a great one either.","0.1875","0","0.27272728085517883","neutral","nan","0.125","0.0973500981926918","0","0","0","0.058713316917419434","0.0625","0.10362864285707474","0.0625","0","0","0","0","0","0","0","0","0","0.125","0.10000000149011612","0.095238097012043","0.05263157933950424","0","0.0555555559694767","0.05882352963089943","0.27272728085517883","0.05882352963089943","0.3333333432674408","0.30000001192092896","1","0","0","The'end  a Board is' thea,,  audience movie  movies thes filmslanguage. ins the,          This The This This This This The The The The The The The The The The The The The The The The The The The The","0.02631579153239727","0","0.05128205195069313","0.0714285746216774","2.375","0","0","0.11764705926179886"
"<NR>","ZuCo1","ZAB","task1","Another Best of the Year selection.","One of the best films of the year.,One of the best films of the year.,This movie is one of the best of the year.,This movie is one of the best of the year.,This film is one of the best of the year.,This is one of the best films of the year.,Another Best of the Year selection.,It's another year, another Best of the Year selection.","This movie is a big film, but it's not a great film, but it's not a great one either.","0.21052633225917816","0.15294381976127625","0.4000000059604645","positive","nan","0","0","0.21052633225917816","0.21052633225917816","0.15789473056793213","0.15789473056793213","0","0","0","0","0","0.15294381976127625","0.15294381976127625","0","0","0","0","0","0.125","0.125","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.30000001192092896","0","0.20000000298023224","0","0.190476194024086","0.25806450843811035","3.1666667461395264","0.1112256571650505","0","The. its movie Bedroom- is     This This This This This This This This This This This This This This This This This This This This This This This This This This This This This This This This This This This This This This This This This This This This This This This This This This This","0","0","0.01785714365541935","0.032258063554763794","9.333333015441895","0","0","0.1666666716337204"
"<NR>","ZuCo1","ZAB","task1","Beautifully observed, miraculously unsentimental comedy-drama.","A well-made and funny movie that is not overly emotional.,A very well-made and funny film that doesn't try to make you feel overly emotional.,This movie is a beautifully observed and miraculously unsentimental comedy-drama.,This movie is a beautifully observed and miraculously unsentimental comedy-drama.,This beautifully observed comedy-drama is miraculously unsentimental.,This comedy-drama is both beautifully observed and miraculously unsentimental.,Beautifully observed, miraculously unsentimental comedy-drama.,It's a film that's a little too smug for its own good, but it's also a film that's a little too smug for its own good.","The movie is a bad movie, but it's not a bad movie, but it's not a great one either.","0.42105263471603394","0.26490646600723267","0.2666666805744171","positive","nan","0.15789473056793213","0","0.15789473056793213","0.15789473056793213","0.05263158306479454","0.05263158306479454","0","0.1820594221353531","0","0","0","0.13245323300361633","0.13245323300361633","0","0","0","0.08365052938461304","0","0.3636363744735718","0.05882352963089943","0.27272728085517883","0.27272728085517883","0.125","0.10000000149011612","0","0.2666666805744171","0","0.380952388048172","0.3137255012989044","3.799999952316284","0.1604151427745819","0","Thely  with ly overiouse..med. is''  the     The It It The It The The The The The The The The If The The The The The The The The The The The The The The The The The The The The The The The The The","0","0","0","0","9","0","0","0"
"<NR>","ZuCo1","ZAB","task1","What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching.","What makes How I Killed My Father so good, besides its great acting, is Fontaine's bravery in showing the difficult side of parent-child relationships.,What makes How I Killed My Father compelling, besides its great acting, is Fontaine's bravery to explore the difficult parts of parent-child relationships.,The reviewer finds How I Killed My Father compelling because of its terrific performances and the director Fontaine's willingness to explore the dark areas of parent-child relationships.,The movie How I Killed My Father is compelling, thanks to its terrific performances and Fontaine's willingness to explore the dark areas of parent-child relationships.,Fontaine's willingness to explore the dark areas of parent-child relationships makes How I Killed My Father compelling.,Fontaine's unflinching portrayal of dark parent-child relationships makes How I Killed My Father compelling.,What makes How I Killed My Father compelling, besides its terrific performances, is Fontaine's willingness to wander into the dark areas of parent-child relationships without flinching.,How I Killed My Father is a film about a father-child relationship that's as bleak as it is heartbreaking.","This movie is a film that's not a great one either.","0.4844638705253601","0.271596223115921","0.2857142984867096","positive","nan","0.05576736852526665","0.06107473000884056","0","0.050921231508255005","0","0","0.023248108103871346","0.21964776515960693","0.023248108103871346","0","0","0","0","0","0","0","0.14569784700870514","0","0.11538461595773697","0.11999999731779099","0.03448275849223137","0.1111111119389534","0.05263157933950424","0.0625","0.0714285746216774","0.2857142984867096","0.0714285746216774","0.5","0.3636363744735718","0.9615384340286255","0.184099942445755","0","The' it you'a is Hard is and a are best movie is  s thes  and bes the film- of.out,. ay....'' Yu   A A A A This This The The The The This The This This This This This","0.05263158306479454","0","0.10000000149011612","0.11764705926179886","1.4615384340286255","0","0","0.1428571492433548"
"<NR>","ZuCo1","ZAB","task1","This hastily mounted production exists only to capitalize on Hopkins' inclination to play Hannibal Lecter again, even though Harris has no immediate inclination to provide a fourth book.","This movie was made quickly just to let Hopkins play Hannibal Lecter again.,This movie was made quickly just to let Hopkins play Hannibal Lecter again.,The movie was hastily produced to capitalize on Anthony Hopkins' willingness to play Hannibal Lecter again, despite the lack of a new book by Thomas Harris.,The movie was hastily produced to capitalize on Anthony Hopkins' willingness to play Hannibal Lecter again, despite the lack of a new book by Thomas Harris.,The movie was made quickly just to let Hopkins play Hannibal Lecter again.,The movie was hastily made to cash in on Anthony Hopkins' willingness to play Hannibal Lecter again.,This hastily mounted production exists only to capitalize on Hopkins' inclination to play Hannibal Lecter again, even though Harris has no immediate inclination to provide a fourth book.,It's a slapdash adaptation of a book that's already been retold a dozen times.","This movie is a film that's not a great one either.","0.3789786398410797","0.17775672674179077","0.25","negative","nan","0.1515914499759674","0.1515914499759674","0.04649621993303299","0.04649621993303299","0.0757957249879837","0.05268893018364906","0.03876635432243347","0.20762738585472107","0.03876635432243347","0.11242322623729706","0.11242322623729706","0","0","0","0","0","0","0","0.1538461595773697","0.1538461595773697","0.07692307978868484","0.07692307978868484","0.07692307978868484","0.05882352963089943","0.0714285746216774","0.25","0.0714285746216774","0.3333333432674408","0.2857142984867096","0.9642857313156128","0","0","The movie , to. the  the.  comedysas. be theso.vy.. but the it.  of joba of. be.a ..  New  the the the the this this     A  A  The A The","0","0","0.1034482792019844","0.10526315867900848","1.0357142686843872","0","0","0.1071428582072258"
"<NR>","ZuCo1","ZAB","task1","Flaccid drama and exasperatingly slow journey.","The movie is boring and moves too slowly.,The movie is boring and too slow.,The movie is a disappointing and slow-paced drama.,This movie is a dull drama with a slow pace.,The movie is a dull and slow drama.,The movie is a dull and slow drama.,Flaccid drama and exasperatingly slow journey.,It's not a bad film, but it's not a great one either.","This movie is a lot of fun and simple comedy.","0.5","0.40824827551841736","0.5","negative","nan","0.29999998211860657","0.29999998211860657","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.4000000059604645","0.09999999403953552","0.08187306672334671","0.09999999403953552","0.18257418274879456","0.18257418274879456","0.29814237356185913","0.3651483654975891","0.29814237356185913","0.29814237356185913","0","0","0","0.375","0.4285714328289032","0.4444444477558136","0.4000000059604645","0.5","0.5","0.1666666716337204","0.0714285746216774","0.1666666716337204","0.4000000059604645","0.4444444477558136","1.6666666269302368","0.346680611371994","0.27776190638542175","Thellly to is h itsn. emotion... New     the  I I I This This This This I This This I This This This This This This This This This This This I This I I I I I I I I I I This I It It It I I I","0","0","0","0","8.333333015441895","0","0","0"
